symbol,endtime,close
BNBUSDT,2025-08-18 06:36:59.999000+00:00,829.69
BNBUSDT,2025-08-18 06:37:59.999000+00:00,829.95
BNBUSDT,2025-08-18 06:38:59.999000+00:00,829.4
BNBUSDT,2025-08-18 06:39:59.999000+00:00,828.5
BNBUSDT,2025-08-18 06:40:59.999000+00:00,827.53
BNBUSDT,2025-08-18 06:41:59.999000+00:00,827.28
BNBUSDT,2025-08-18 06:42:59.999000+00:00,827.48
BNBUSDT,2025-08-18 06:43:59.999000+00:00,826.72
BNBUSDT,2025-08-18 06:44:59.999000+00:00,826.38
BNBUSDT,2025-08-18 06:45:59.999000+00:00,825.66
BNBUSDT,2025-08-18 06:46:59.999000+00:00,825.11
BNBUSDT,2025-08-18 06:47:59.999000+00:00,825.69
BNBUSDT,2025-08-18 06:48:59.999000+00:00,826.76
BNBUSDT,2025-08-18 06:49:59.999000+00:00,826.64
BNBUSDT,2025-08-18 06:50:59.999000+00:00,827.24
BNBUSDT,2025-08-18 06:51:59.999000+00:00,827.0
BNBUSDT,2025-08-18 06:52:59.999000+00:00,826.93
BNBUSDT,2025-08-18 06:53:59.999000+00:00,827.54
BNBUSDT,2025-08-18 06:54:59.999000+00:00,827.7
BNBUSDT,2025-08-18 06:55:59.999000+00:00,828.93
BNBUSDT,2025-08-18 06:56:59.999000+00:00,829.1
BNBUSDT,2025-08-18 06:57:59.999000+00:00,828.53
BNBUSDT,2025-08-18 06:58:59.999000+00:00,828.55
BNBUSDT,2025-08-18 06:59:59.999000+00:00,828.88
BNBUSDT,2025-08-18 07:00:59.999000+00:00,829.49
BNBUSDT,2025-08-18 07:01:59.999000+00:00,829.46
BNBUSDT,2025-08-18 07:02:59.999000+00:00,830.0
BNBUSDT,2025-08-18 07:03:59.999000+00:00,830.07
BNBUSDT,2025-08-18 07:04:59.999000+00:00,829.57
BNBUSDT,2025-08-18 07:05:59.999000+00:00,829.25
BNBUSDT,2025-08-18 07:06:59.999000+00:00,829.7
BNBUSDT,2025-08-18 07:07:59.999000+00:00,830.41
BNBUSDT,2025-08-18 07:08:59.999000+00:00,830.67
BNBUSDT,2025-08-18 07:09:59.999000+00:00,830.09
BNBUSDT,2025-08-18 07:10:59.999000+00:00,829.88
BNBUSDT,2025-08-18 07:11:59.999000+00:00,829.46
BNBUSDT,2025-08-18 07:12:59.999000+00:00,829.96
BNBUSDT,2025-08-18 07:13:59.999000+00:00,829.28
BNBUSDT,2025-08-18 07:14:59.999000+00:00,829.14
BNBUSDT,2025-08-18 07:15:59.999000+00:00,828.61
BNBUSDT,2025-08-18 07:16:59.999000+00:00,829.58
BNBUSDT,2025-08-18 07:17:59.999000+00:00,829.75
BNBUSDT,2025-08-18 07:18:59.999000+00:00,829.48
